framework_id,instrument,issuer,version,release_date,access_date,instrument_type,canonical_url_or_doi,revision_or_snapshot,sha256,included,inclusion_reason,exclusion_reason,notes
F01,,,,,,,,,,Y,,,
F02,,,,,,,,,,Y,,,
F03,,,,,,,,,,Y,,,
F04,,,,,,,,,,Y,,,
F05,,,,,,,,,,Y,,,
F06,,,,,,,,,,Y,,,
F07,,,,,,,,,,Y,,,
F08,,,,,,,,,,Y,,,
F09,,,,,,,,,,Y,,,
F10,,,,,,,,,,Y,,,
F11,,,,,,,,,,Y,,,
F12,,,,,,,,,,Y,,,
F13,,,,,,,,,,Y,,,
F14,,,,,,,,,,Y,,,
F15,,,,,,,,,,Y,,,
F16,,,,,,,,,,Y,,,
F17,,,,,,,,,,Y,,,
F18,,,,,,,,,,Y,,,
F19,,,,,,,,,,Y,,,
F20,,,,,,,,,,Y,,,
F21,,,,,,,,,,Y,,,
F22,,,,,,,,,,Y,,,
F23,,,,,,,,,,Y,,,
F24,,,,,,,,,,Y,,,
F25,,,,,,,,,,Y,,,
F26,,,,,,,,,,Y,,,
F27,,,,,,,,,,Y,,,
F28,,,,,,,,,,Y,,,
F29,,,,,,,,,,Y,,,
F30,,,,,,,,,,Y,,,
F31,,,,,,,,,,Y,,,
F32,,,,,,,,,,Y,,,
F33,,,,,,,,,,Y,,,
F34,,,,,,,,,,Y,,,
F35,,,,,,,,,,Y,,,
